  0.1006956       1.000108       8.289229    
  0.1020964      0.9989465       8.164900    
  0.1035167      0.9977707       8.041827    
  0.1049567      0.9965801       7.920010    
  0.1064168      0.9953747       7.799450    
  0.1078973      0.9941545       7.680142    
  0.1093982      0.9929193       7.562089    
  0.1109201      0.9916689       7.445287    
  0.1124632      0.9904034       7.329734    
  0.1140277      0.9891226       7.215430    
  0.1156140      0.9878265       7.102372    
  0.1172223      0.9865149       6.990557    
  0.1188531      0.9851879       6.879981    
  0.1205065      0.9838451       6.770642    
  0.1221829      0.9824867       6.662537    
  0.1238826      0.9811126       6.555664    
  0.1256060      0.9797227       6.450014    
  0.1273534      0.9783168       6.345589    
  0.1291250      0.9768949       6.242383    
  0.1309213      0.9754570       6.140391    
  0.1327426      0.9740029       6.039608    
  0.1345893      0.9725327       5.940030    
  0.1364616      0.9710461       5.841653    
  0.1383599      0.9695433       5.744472    
  0.1402847      0.9680240       5.648478    
  0.1422363      0.9664882       5.553669    
  0.1442150      0.9649359       5.460038    
  0.1462212      0.9633671       5.367582    
  0.1482553      0.9617815       5.276290    
  0.1503178      0.9601793       5.186160    
  0.1524089      0.9585603       5.097184    
  0.1545291      0.9569247       5.009355    
  0.1566789      0.9552720       4.922667    
  0.1588585      0.9536026       4.837114    
  0.1610684      0.9519160       4.752689    
  0.1633091      0.9502125       4.669384    
  0.1655810      0.9484921       4.587192    
  0.1678844      0.9467546       4.506106    
  0.1702199      0.9450000       4.426119    
  0.1725879      0.9432281       4.347223    
  0.1749889      0.9414392       4.269410    
  0.1774232      0.9396330       4.192674    
  0.1798914      0.9378096       4.117004    
  0.1823939      0.9359689       4.042395    
  0.1849313      0.9341111       3.968838    
  0.1875039      0.9322358       3.896325    
  0.1901124      0.9303433       3.824848    
  0.1927571      0.9284334       3.754397    
  0.1954386      0.9265062       3.684966    
  0.1981574      0.9245616       3.616546    
  0.2009141      0.9225996       3.549127    
  0.2037091      0.9206204       3.482702    
  0.2065429      0.9186237       3.417262    
  0.2094162      0.9166096       3.352798    
  0.2123295      0.9145783       3.289300    
  0.2152833      0.9125295       3.226762    
  0.2182782      0.9104634       3.165174    
  0.2213148      0.9083799       3.104525    
  0.2243935      0.9062790       3.044810    
  0.2275152      0.9041609       2.986016    
  0.2306802      0.9020255       2.928137    
  0.2338893      0.8998728       2.871162    
  0.2371430      0.8977029       2.815083    
  0.2404420      0.8955157       2.759892    
  0.2437869      0.8933113       2.705576    
  0.2471783      0.8910898       2.652130    
  0.2506169      0.8888512       2.599543    
  0.2541034      0.8865954       2.547806    
  0.2576383      0.8843226       2.496909    
  0.2612224      0.8820329       2.446845    
  0.2648563      0.8797261       2.397603    
  0.2685409      0.8774024       2.349174    
  0.2722766      0.8750619       2.301550    
  0.2760644      0.8727047       2.254720    
  0.2799048      0.8703307       2.208676    
  0.2837987      0.8679399       2.163410    
  0.2877467      0.8655326       2.118910    
  0.2917497      0.8631088       2.075170    
  0.2958083      0.8606685       2.032177    
  0.2999234      0.8582118       1.989926    
  0.3040958      0.8557388       1.948405    
  0.3083262      0.8532495       1.907607    
  0.3126154      0.8507441       1.867522    
  0.3169643      0.8482225       1.828140    
  0.3213737      0.8456851       1.789455    
  0.3258445      0.8431317       1.751454    
  0.3303775      0.8405625       1.714132    
  0.3349735      0.8379776       1.677478    
  0.3396334      0.8353772       1.641484    
  0.3443581      0.8327613       1.606140    
  0.3491487      0.8301299       1.571439    
  0.3540058      0.8274833       1.537371    
  0.3589305      0.8248215       1.503928    
  0.3639237      0.8221447       1.471101    
  0.3689864      0.8194529       1.438882    
  0.3741195      0.8167464       1.407262    
  0.3793240      0.8140251       1.376233    
  0.3846010      0.8112893       1.345787    
  0.3899513      0.8085390       1.315914    
  0.3953761      0.8057745       1.286607    
  0.4008763      0.8029959       1.257858    
  0.4064530      0.8002031       1.229658    
  0.4121074      0.7973965       1.202000    
  0.4178404      0.7945762       1.174875    
  0.4236531      0.7917423       1.148275    
  0.4295467      0.7888950       1.122193    
  0.4355223      0.7860343       1.096620    
  0.4415810      0.7831606       1.071548    
  0.4477240      0.7802739       1.046971    
  0.4539525      0.7773743       1.022880    
  0.4602676      0.7744620      0.9992682    
  0.4666705      0.7715374      0.9761274    
  0.4731626      0.7686004      0.9534501    
  0.4797449      0.7656513      0.9312295    
  0.4864188      0.7626902      0.9094580    
  0.4931855      0.7597173      0.8881286    
  0.5000465      0.7567328      0.8672334    
  0.5070028      0.7537369      0.8467659    
  0.5140560      0.7507297      0.8267190    
  0.5212072      0.7477114      0.8070856    
  0.5284579      0.7446823      0.7878590    
  0.5358095      0.7416426      0.7690321    
  0.5432633      0.7385923      0.7505986    
  0.5508209      0.7355316      0.7325513    
  0.5584835      0.7324610      0.7148841    
  0.5662528      0.7293805      0.6975901    
  0.5741302      0.7262902      0.6806630    
  0.5821171      0.7231904      0.6640965    
  0.5902152      0.7200814      0.6478840    
  0.5984259      0.7169632      0.6320198    
  0.6067508      0.7138362      0.6164972    
  0.6151916      0.7107006      0.6013104    
  0.6237497      0.7075565      0.5864535    
  0.6324270      0.7044041      0.5719203    
  0.6412249      0.7012438      0.5577052    
  0.6501452      0.6980757      0.5438023    
  0.6591896      0.6949000      0.5302057    
  0.6683599      0.6917170      0.5169101    
  0.6776577      0.6885268      0.5039098    
  0.6870849      0.6853298      0.4911992    
  0.6966432      0.6821260      0.4787732    
  0.7063344      0.6789159      0.4666262    
  0.7161605      0.6756995      0.4547530    
  0.7261233      0.6724771      0.4431483    
  0.7362247      0.6692491      0.4318071    
